app_id,app_name,count,genres
306130,The Elder Scrolls Online,8725,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]"
8930,Sid Meier's Civilization V,8693,"[{'id': '2', 'description': 'Strategy'}]"
437220,The Culling,8577,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}]"
261640,Borderlands: The Pre-Sequel,8567,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
241600,Rogue Legacy,8546,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
209870,Blacklight: Retribution,8536,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
209160,Call of Duty: Ghosts,8521,"[{'id': '1', 'description': 'Action'}]"
209080,Guns of Icarus Online,8318,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
243470,Watch_Dogs,8261,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
303210,The Beginner's Guide,8174,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
281990,Stellaris,8148,"[{'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
223710,Cry of Fear,8143,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
108600,Project Zomboid,8127,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '70', 'description': 'Early Access'}]"
307780,Mortal Kombat X,8122,"[{'id': '1', 'description': 'Action'}]"
207140,SpeedRunners,8090,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '9', 'description': 'Racing'}, {'id': '18', 'description': 'Sports'}]"
48000,LIMBO,8062,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
202970,Call of Duty: Black Ops II,8057,"[{'id': '1', 'description': 'Action'}]"
10180,Call of Duty: Modern Warfare 2,7946,"[{'id': '1', 'description': 'Action'}]"
70,Half-Life,7916,"[{'id': '1', 'description': 'Action'}]"
209000,Batman™: Arkham Origins,7905,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
393380,Squad,7903,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
42910,Magicka,7872,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
313120,Stranded Deep,7830,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '70', 'description': 'Early Access'}]"
204100,Max Payne 3,7819,"[{'id': '1', 'description': 'Action'}]"
264200,One Finger Death Punch,7737,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]"
242050,Assassin's Creed IV Black Flag,7682,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
17410,Mirror's Edge,7681,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
344760,Reign Of Kings,7638,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}]"
273110,Counter-Strike Nexon: Studio,7519,"[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free to Play'}, {'id': '29', 'description': 'Massively Multiplayer'}]"
202170,Sleeping Dogs™,7481,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
246620,Plague Inc: Evolved,7467,"[{'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
33930,Arma 2: Operation Arrowhead,7449,"[{'id': '1', 'description': 'Action'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
504370,Battlerite,7364,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}]"
233720,Surgeon Simulator,7342,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}]"
219990,Grim Dawn,7299,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]"
219890,Antichamber,7281,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
235540,Warhammer: End Times - Vermintide,7132,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]"
330830,Tales from the Borderlands,7117,"[{'id': '25', 'description': 'Adventure'}]"
403640,Dishonored 2,7090,"[{'id': '1', 'description': 'Action'}]"
230230,Divinity: Original Sin (Classic),7068,"[{'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
203140,Hitman: Absolution,7059,"[{'id': '1', 'description': 'Action'}]"
20900,The Witcher: Enhanced Edition,6988,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
63380,Sniper Elite V2,6970,"[{'id': '1', 'description': 'Action'}]"
214560,Mark of the Ninja,6913,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]"
298630,The Escapists,6904,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
35140,Batman: Arkham Asylum GOTY Edition,6895,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
294100,RimWorld,6836,"[{'id': '23', 'description': 'Indie'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
32370,STAR WARS™: Knights of the Old Republic™,6833,"[{'id': '25', 'description': 'Adventure'}, {'id': '3', 'description': 'RPG'}]"
206190,Gunpoint,6807,"[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}, {'id': '2', 'description': 'Strategy'}]"
1840,Source Filmmaker,6792,"[{'id': '51', 'description': 'Animation & Modeling'}, {'id': '58', 'description': 'Video Production'}]"
299740,Miscreated,6779,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}, {'id': '28', 'description': 'Simulation'}, {'id': '2', 'description': 'Strategy'}]"
337000,Deus Ex: Mankind Divided™,6762,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
262060,Darkest Dungeon®,6750,"[{'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
302830,BLOCKADE 3D,6739,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '70', 'description': 'Early Access'}]"
335300,DARK SOULS™ II: Scholar of the First Sin,6727,"[{'id': '1', 'description': 'Action'}, {'id': '3', 'description': 'RPG'}]"
391220,Rise of the Tomb Raider,6717,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
22330,The Elder Scrolls IV: Oblivion ,6589,"[{'id': '3', 'description': 'RPG'}]"
236110,Dungeon Defenders II,6574,"[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free to Play'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}, {'id': '2', 'description': 'Strategy'}]"
233130,Shadow Warrior,6542,"[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}]"
